agegroup,group,participant,block,trial,active_bool,handangle_deg,localization_deg,RT_ms
aging,aging_implicit,42,1,92,1,137.748879871618,127.345068785595,5518
aging,aging_implicit,42,1,93,1,75.9324943447445,53.5482846320698,4864
aging,aging_implicit,42,1,94,1,35.6879902359744,18.6418608758496,4382
aging,aging_implicit,42,1,95,1,98.1956013727431,76.51644778174,4012
aging,aging_implicit,42,1,96,1,123.488479056639,107.381526698476,4049
aging,aging_implicit,42,1,97,1,111.636430225125,91.336498645039,3569
aging,aging_implicit,42,1,98,1,72.4311579576249,50.0000027937381,4212
aging,aging_implicit,42,1,99,1,114.031172098359,93.8645758559417,4449
aging,aging_implicit,42,1,101,1,120.299068197747,103.217308488316,4248
aging,aging_implicit,42,1,102,1,97.3501862750068,75.0669418382252,3849
aging,aging_implicit,42,1,103,1,85.377919361987,60.6804788225849,3649
aging,aging_implicit,42,1,105,1,108.952831797791,88.6765689558206,3941
aging,aging_implicit,42,1,106,1,101.194821211859,80.4975008082223,3689
aging,aging_implicit,42,1,108,1,102.515722497858,82.4774013072145,4039
aging,aging_implicit,42,2,236,1,75.4977011063677,52.7046011313892,3737
aging,aging_implicit,42,2,237,1,95.9989750973652,72.9732054016242,3530
aging,aging_implicit,42,2,238,1,109.833288486321,89.4905286983744,3591
aging,aging_implicit,42,2,239,1,76.297204311578,54.1038653402655,3948
aging,aging_implicit,42,2,240,1,86.8795095615222,62.7764171731537,3936
aging,aging_implicit,42,2,241,1,91.6283775662267,66.6123825479656,3809
aging,aging_implicit,42,2,242,1,73.6880672853561,51.2370142060985,3591
aging,aging_implicit,42,2,243,1,109.388484621887,89.2860689525013,3509
aging,aging_implicit,42,2,244,1,111.706904056356,91.4350602181489,3389
aging,aging_implicit,42,2,245,1,141.14436269119,123.950202450998,3609
aging,aging_implicit,42,2,246,1,74.7445061218617,52.5937448037321,3689
aging,aging_implicit,42,2,247,1,114.473065942109,94.9462176631663,3649
aging,aging_implicit,42,2,248,1,104.308904386789,84.7909558267054,3329
aging,aging_implicit,42,2,249,1,51.5287150722441,19.4049792962723,3835
aging,aging_implicit,42,2,250,1,86.2214993443701,60.3145120877551,4487
aging,aging_implicit,42,2,251,1,110.824590626087,90.6500092954837,3292
aging,aging_implicit,42,2,252,1,70.6639760086155,48.1998393950357,3569
aging,aging_implicit,42,3,380,1,93.5677289769049,69.1518419128843,4001
aging,aging_implicit,42,3,381,1,74.580184625123,51.816376817275,4859
